Product_Name, Price, Shipping_Cost
EVGA GeForce RTX 3080 FTW3 GAMING Video Card| 10G-P5-3895-KR| 10GB GDDR6X| iCX3 Technology| ARGB LED| Metal Backplate,$789.99,$6.99 Shipping
GIGABYTE AORUS GeForce RTX 3080 DirectX 12 GV-N3080AORUS X-10GD 10GB 320-Bit GDDR6X PCI Express 4.0 x16 ATX Video Card,$899.99,$6.99 Shipping
ASUS TUF Gaming GeForce RTX 3080 TUF-RTX3080-O10G-GAMING Video Card,$1599.00,Free Shipping
ABS Gladiator Battlestation - Intel Core i9-10900KF - GeForce RTX 3080 - Corsair Vengeance RGB Pro 32 GB DDR4 3600 MHz - 1TB M.2 NVMe SSD - Corsair H115i RGB AIO Cooler 280MM,$3599.99,$12.99 Shipping
ABS Gladiator Gaming PC - Intel i7 10700F - GeForce RTX 3080 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,$1899.99,Free Shipping
ABS Gladiator Gaming PC - Intel i9 9900K - GeForce RTX 3080 - 16GB DDR4 3000MHz - 1TB M.2 NVMe SSD,$2099.99,$12.99 Shipping
ABS Gladiator Gaming PC - Intel i9-10850K - GIGABYTE GeForce RTX 3080 Gaming OC 10GB - G.Skill TridentZ RGB 32GB DDR4 3200MHz - 1TB M.2 NVMe SSD - AORUS RGB Liquid Cooling 280mm,$2799.99,Free Shipping
MSI GeForce RTX 3080 VENTUS 3X 10G OC VGA| OLOy 32GB (2 x 16GB) DDR4 3600 Desktop Memory,$844.98,
MSI GeForce RTX 3080 GAMING X TRIO 10G VGA| OLOy WarHawk RGB 16GB (2 x 8GB) DDR4 3600 Desktop Memory,$834.98,
ZOTAC GAMING GeForce RTX 3080 Trinity 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card| ASRock Z390 PHANTOM GAMING SLI/ac Motherboard,$864.98,
